task,subjID,trial,resp,labelPresented,frequency,list,acc
2AFC Generalization,3688464,1,wug,wug,high,9,1
2AFC Generalization,3688464,2,bim,bim,control,9,1
2AFC Generalization,3688464,3,bim,bim,control,9,1
2AFC Generalization,3688464,4,tob,tob,high,9,1
2AFC Generalization,3688464,5,tob,wug,low,9,0
2AFC Generalization,3688464,6,wug,tob,high,9,0
2AFC Generalization,3688464,7,wug,wug,low,9,1
2AFC Generalization,3688464,8,tob,tob,low,9,1
2AFC Generalization,3688464,9,bim,bim,control,9,1
2AFC Generalization,3688464,10,wug,tob,high,9,0
2AFC Generalization,3688464,11,tob,tob,low,9,1
2AFC Generalization,3688464,12,tob,wug,low,9,0
2AFC Generalization,3688464,13,wug,wug,low,9,1
2AFC Generalization,3688464,14,wug,tob,high,9,0
2AFC Generalization,3688464,15,bim,bim,control,9,1
2AFC Generalization,3688464,16,bim,bim,control,9,1
2AFC Generalization,3688464,17,bim,bim,control,9,1
2AFC Generalization,3688464,18,tob,tob,high,9,1
2AFC Generalization,3688464,19,tob,wug,low,9,0
2AFC Generalization,3688464,20,wug,tob,high,9,0
2AFC Generalization,3688464,21,wug,wug,high,9,1
2AFC Generalization,3688464,22,tob,tob,high,9,1
2AFC Generalization,3688464,23,wug,wug,high,9,1
2AFC Generalization,3688464,24,wug,wug,low,9,1
2AFC Generalization,3688464,25,tob,tob,high,9,1
2AFC Generalization,3688464,26,tob,tob,low,9,1
2AFC Generalization,3688464,27,tob,tob,high,9,1
2AFC Generalization,3688464,28,wug,wug,low,9,1
2AFC Generalization,3688464,29,wug,wug,high,9,1
2AFC Generalization,3688464,30,wug,wug,high,9,1
2AFC Generalization,3688464,31,tob,tob,low,9,1
2AFC Generalization,3688464,32,wug,wug,high,9,1
2AFC Generalization,3688464,33,tob,tob,low,9,1
2AFC Generalization,3688464,34,tob,wug,high,9,0
2AFC Generalization,3688464,35,wug,wug,low,9,1
2AFC Generalization,3688464,36,bim,bim,control,9,1
2AFC Generalization,3688464,37,wug,tob,low,9,0
2AFC Generalization,3688464,38,tob,tob,low,9,1
2AFC Generalization,3688464,39,bim,bim,control,9,1
2AFC Generalization,3688464,40,wug,wug,low,9,1
2AFC Generalization,3688464,41,wug,tob,high,9,0
2AFC Generalization,3688464,42,tob,tob,low,9,1
2AFC Generalization,3688464,43,tob,wug,high,9,0
2AFC Generalization,3688464,44,tob,wug,high,9,0
2AFC Generalization,3688464,45,tob,tob,low,9,1
2AFC Generalization,3688464,46,tob,wug,low,9,0
2AFC Generalization,3688464,47,wug,tob,low,9,0
2AFC Generalization,3688464,48,wug,wug,high,9,1
2AFC Generalization,3690782,1,bim,bim,control,5,1
2AFC Generalization,3690782,2,bim,bim,control,5,1
2AFC Generalization,3690782,3,wug,wug,high,5,1
2AFC Generalization,3690782,4,tob,wug,low,5,0
2AFC Generalization,3690782,5,tob,tob,high,5,1
2AFC Generalization,3690782,6,wug,tob,low,5,0
2AFC Generalization,3690782,7,wug,tob,high,5,0
2AFC Generalization,3690782,8,wug,tob,high,5,0
2AFC Generalization,3690782,9,tob,tob,low,5,1
2AFC Generalization,3690782,10,wug,wug,low,5,1
2AFC Generalization,3690782,11,tob,tob,low,5,1
2AFC Generalization,3690782,12,tob,tob,high,5,1
2AFC Generalization,3690782,13,wug,tob,low,5,0
2AFC Generalization,3690782,14,wug,wug,high,5,1
2AFC Generalization,3690782,15,wug,wug,low,5,1
2AFC Generalization,3690782,16,bim,bim,control,5,1
2AFC Generalization,3690782,17,bim,bim,control,5,1
2AFC Generalization,3690782,18,wug,wug,low,5,1
2AFC Generalization,3690782,19,tob,tob,high,5,1
2AFC Generalization,3690782,20,wug,tob,high,5,0
2AFC Generalization,3690782,21,bim,bim,control,5,1
2AFC Generalization,3690782,22,bim,bim,control,5,1
2AFC Generalization,3690782,23,bim,bim,control,5,1
2AFC Generalization,3690782,24,wug,wug,high,5,1
2AFC Generalization,3690782,25,tob,tob,low,5,1
2AFC Generalization,3690782,26,wug,tob,high,5,0
2AFC Generalization,3690782,27,tob,tob,low,5,1
2AFC Generalization,3690782,28,wug,tob,high,5,0
2AFC Generalization,3690782,29,tob,wug,high,5,0
2AFC Generalization,3690782,30,wug,wug,high,5,1
2AFC Generalization,3690782,31,tob,tob,low,5,1
2AFC Generalization,3690782,32,wug,tob,low,5,0
2AFC Generalization,3690782,33,tob,wug,low,5,0
2AFC Generalization,3690782,34,wug,tob,high,5,0
2AFC Generalization,3690782,35,tob,wug,low,5,0
2AFC Generalization,3690782,36,wug,wug,low,5,1
2AFC Generalization,3690782,37,tob,tob,low,5,1
2AFC Generalization,3690782,38,bim,bim,control,5,1
2AFC Generalization,3690782,39,wug,wug,low,5,1
2AFC Generalization,3690782,40,tob,wug,high,5,0
2AFC Generalization,3690782,41,wug,wug,high,5,1
2AFC Generalization,3690782,42,tob,tob,high,5,1
2AFC Generalization,3690782,43,wug,wug,low,5,1
2AFC Generalization,3690782,44,tob,wug,high,5,0
2AFC Generalization,3690782,45,wug,wug,high,5,1
2AFC Generalization,3690782,46,tob,tob,low,5,1
2AFC Generalization,3690782,47,tob,wug,high,5,0
2AFC Generalization,3690782,48,tob,wug,low,5,0
2AFC Generalization,3690866,1,tob,tob,high,1,1
2AFC Generalization,3690866,2,wug,wug,high,1,1
2AFC Generalization,3690866,3,tob,tob,low,1,1
2AFC Generalization,3690866,4,bim,bim,control,1,1
2AFC Generalization,3690866,5,bim,bim,control,1,1
2AFC Generalization,3690866,6,wug,wug,high,1,1
2AFC Generalization,3690866,7,bim,bim,control,1,1
2AFC Generalization,3690866,8,bim,bim,control,1,1
2AFC Generalization,3690866,9,bim,bim,control,1,1
2AFC Generalization,3690866,10,tob,wug,low,1,0
2AFC Generalization,3690866,11,tob,wug,low,1,0
2AFC Generalization,3690866,12,tob,wug,low,1,0
2AFC Generalization,3690866,13,tob,tob,low,1,1
2AFC Generalization,3690866,14,wug,wug,high,1,1
2AFC Generalization,3690866,15,tob,wug,low,1,0
2AFC Generalization,3690866,16,tob,wug,low,1,0
2AFC Generalization,3690866,17,tob,wug,low,1,0
2AFC Generalization,3690866,18,tob,tob,high,1,1
2AFC Generalization,3690866,19,tob,tob,high,1,1
2AFC Generalization,3690866,20,wug,wug,high,1,1
2AFC Generalization,3690866,21,bim,tob,low,1,0
2AFC Generalization,3690866,22,tob,tob,high,1,1
2AFC Generalization,3690866,23,tob,wug,low,1,0
2AFC Generalization,3690866,24,bim,bim,control,1,1
2AFC Generalization,3690866,25,wug,wug,high,1,1
2AFC Generalization,3690866,26,wug,wug,high,1,1
2AFC Generalization,3690866,27,tob,wug,low,1,0
2AFC Generalization,3690866,28,wug,wug,high,1,1
2AFC Generalization,3690866,29,tob,tob,high,1,1
2AFC Generalization,3690866,30,wug,tob,low,1,0
2AFC Generalization,3690866,31,tob,wug,low,1,0
2AFC Generalization,3690866,32,tob,tob,low,1,1
2AFC Generalization,3690866,33,bim,bim,control,1,1
2AFC Generalization,3690866,34,wug,tob,low,1,0
2AFC Generalization,3690866,35,tob,tob,high,1,1
2AFC Generalization,3690866,36,tob,tob,low,1,1
2AFC Generalization,3690866,37,NA,tob,low,1,NA
2AFC Generalization,3690866,38,tob,tob,high,1,1
2AFC Generalization,3690866,39,tob,tob,high,1,1
2AFC Generalization,3690866,40,tob,wug,low,1,0
2AFC Generalization,3690866,41,bim,bim,control,1,1
2AFC Generalization,3690866,42,wug,tob,low,1,0
2AFC Generalization,3690866,43,tob,tob,low,1,1
2AFC Generalization,3690866,44,wug,wug,high,1,1
2AFC Generalization,3690866,45,tob,tob,high,1,1
2AFC Generalization,3690866,46,wug,wug,high,1,1
2AFC Generalization,3690866,47,wug,wug,high,1,1
2AFC Generalization,3690866,48,tob,tob,high,1,1
2AFC Generalization,3691681,1,tob,tob,low,10,1
2AFC Generalization,3691681,2,tob,tob,low,10,1
2AFC Generalization,3691681,3,tob,tob,low,10,1
2AFC Generalization,3691681,4,wug,tob,high,10,0
2AFC Generalization,3691681,5,wug,wug,low,10,1
2AFC Generalization,3691681,6,wug,wug,low,10,1
2AFC Generalization,3691681,7,tob,wug,high,10,0
