task,subjID,trial,resp,ObjectType,frequency,list,correctLabel,acc
2AFC Pairing,3688464,1,tob,centralObj_2,centralObj,9,wug,0
2AFC Pairing,3688464,2,bim,control,control,9,bim,1
2AFC Pairing,3688464,3,wug,Lwug,low,9,wug,1
2AFC Pairing,3688464,4,wug,centralObj_1,centralObj,9,tob,0
2AFC Pairing,3688464,5,tob,Hwug,high,9,wug,0
2AFC Pairing,3688464,6,wug,Htob,high,9,tob,0
2AFC Pairing,3688464,7,wug,Ltob,low,9,tob,0
2AFC Pairing,3688464,8,tob,control,control,9,bim,0
2AFC Pairing,3688464,9,wug,centralObj_1,centralObj,9,tob,0
2AFC Pairing,3688464,10,wug,Htob,high,9,tob,0
2AFC Pairing,3688464,11,bim,control,control,9,bim,1
2AFC Pairing,3688464,12,wug,Hwug,high,9,wug,1
2AFC Pairing,3688464,13,bim,control,control,9,bim,1
2AFC Pairing,3688464,14,tob,Lwug,low,9,wug,0
2AFC Pairing,3688464,15,tob,Ltob,low,9,tob,1
2AFC Pairing,3688464,16,wug,centralObj_2,centralObj,9,wug,1
2AFC Pairing,3688464,17,bim,control,control,9,bim,1
2AFC Pairing,3689090,1,tob,centralObj_1,centralObj,3,tob,1
2AFC Pairing,3689090,2,tob,centralObj_1,centralObj,3,tob,1
2AFC Pairing,3689090,3,wug,centralObj_2,centralObj,3,wug,1
2AFC Pairing,3689090,4,wug,centralObj_2,centralObj,3,wug,1
2AFC Pairing,3689090,5,wug,Hwug,high,3,wug,1
2AFC Pairing,3689090,6,wug,Htob,high,3,tob,0
2AFC Pairing,3689090,7,tob,Lwug,low,3,wug,0
2AFC Pairing,3689090,8,tob,control,control,3,bim,0
2AFC Pairing,3689090,9,wug,Htob,high,3,tob,0
2AFC Pairing,3689090,10,wug,Hwug,high,3,wug,1
2AFC Pairing,3689090,11,bim,control,control,3,bim,1
2AFC Pairing,3689090,12,bim,control,control,3,bim,1
2AFC Pairing,3689090,13,wug,Ltob,low,3,tob,0
2AFC Pairing,3689090,14,tob,Lwug,low,3,wug,0
2AFC Pairing,3689090,15,bim,control,control,3,bim,1
2AFC Pairing,3689090,16,bim,control,control,3,bim,1
2AFC Pairing,3689090,17,wug,Ltob,low,3,tob,0
2AFC Pairing,3701702,1,tob,Lwug,low,3,wug,0
2AFC Pairing,3701702,2,wug,centralObj_2,centralObj,3,wug,1
2AFC Pairing,3701702,3,wug,control,control,3,bim,0
2AFC Pairing,3701702,4,wug,Ltob,low,3,tob,0
2AFC Pairing,3701702,5,tob,control,control,3,bim,0
2AFC Pairing,3701702,6,wug,Hwug,high,3,wug,1
2AFC Pairing,3701702,7,wug,Hwug,high,3,wug,1
2AFC Pairing,3701702,8,tob,Lwug,low,3,wug,0
2AFC Pairing,3701702,9,wug,centralObj_2,centralObj,3,wug,1
2AFC Pairing,3701702,10,wug,control,control,3,bim,0
2AFC Pairing,3701702,11,tob,Htob,high,3,tob,1
2AFC Pairing,3701702,12,tob,centralObj_1,centralObj,3,tob,1
2AFC Pairing,3701702,13,wug,Ltob,low,3,tob,0
2AFC Pairing,3701702,14,tob,centralObj_1,centralObj,3,tob,1
2AFC Pairing,3701702,15,tob,Htob,high,3,tob,1
2AFC Pairing,3701702,16,bim,control,control,3,bim,1
2AFC Pairing,3701702,17,bim,control,control,3,bim,1
2AFC Pairing,3690856,1,tob,Htob,high,2,tob,1
2AFC Pairing,3690856,2,tob,centralObj_2,centralObj,2,wug,0
2AFC Pairing,3690856,3,wug,Hwug,high,2,wug,1
2AFC Pairing,3690856,4,tob,Ltob,low,2,tob,1
2AFC Pairing,3690856,5,wug,Lwug,low,2,wug,1
2AFC Pairing,3690856,6,tob,centralObj_2,centralObj,2,wug,0
2AFC Pairing,3690856,7,bim,control,control,2,bim,1
2AFC Pairing,3690856,8,wug,Lwug,low,2,wug,1
2AFC Pairing,3690856,9,bim,control,control,2,bim,1
2AFC Pairing,3690856,10,wug,Hwug,high,2,wug,1
2AFC Pairing,3690856,11,tob,Ltob,low,2,tob,1
2AFC Pairing,3690856,12,tob,centralObj_1,centralObj,2,tob,1
2AFC Pairing,3690856,13,bim,control,control,2,bim,1
2AFC Pairing,3690856,14,tob,centralObj_1,centralObj,2,tob,1
2AFC Pairing,3690856,15,bim,control,control,2,bim,1
