task,subjID,trial,resp,labelPresented,frequency,trialType,list
Contingency judgement test ,3688464,1,6,wug,low,mismatch,9
Contingency judgement test ,3688464,2,-3,tob,high,match,9
Contingency judgement test ,3688464,3,6,tob,high,mismatch,9
Contingency judgement test ,3688464,4,0,wug,low,match,9
Contingency judgement test ,3688464,5,5,wug,high,match,9
Contingency judgement test ,3688464,6,8,tob,low,mismatch,9
Contingency judgement test ,3688464,7,-3,tob,high,mismatch,9
Contingency judgement test ,3688464,8,-5,wug,low,mismatch,9
Contingency judgement test ,3688464,9,3,wug,low,mismatch,9
Contingency judgement test ,3688464,10,4,wug,low,match,9
Contingency judgement test ,3688464,11,-4,wug,high,mismatch,9
Contingency judgement test ,3688464,12,-4,tob,high,mismatch,9
Contingency judgement test ,3688464,13,5,tob,high,mismatch,9
Contingency judgement test ,3688464,14,3,tob,high,mismatch,9
Contingency judgement test ,3688464,15,4,tob,low,match,9
Contingency judgement test ,3688464,16,5,wug,low,mismatch,9
Contingency judgement test ,3688464,17,-5,wug,high,match,9
Contingency judgement test ,3688464,18,-4,tob,low,match,9
Contingency judgement test ,3688464,19,-4,tob,high,match,9
Contingency judgement test ,3688464,20,5,tob,high,match,9
Contingency judgement test ,3688464,21,4,wug,high,mismatch,9
Contingency judgement test ,3688464,22,3,wug,low,match,9
Contingency judgement test ,3688464,23,-4,tob,low,mismatch,9
Contingency judgement test ,3688464,24,6,wug,low,match,9
Contingency judgement test ,3688464,25,-4,tob,low,mismatch,9
Contingency judgement test ,3688464,26,5,wug,high,mismatch,9
Contingency judgement test ,3688464,27,5,wug,high,mismatch,9
Contingency judgement test ,3688464,28,-4,tob,high,match,9
Contingency judgement test ,3688464,29,3,wug,low,match,9
Contingency judgement test ,3688464,30,-2,tob,low,mismatch,9
Contingency judgement test ,3688464,31,7,tob,high,match,9
Contingency judgement test ,3688464,32,5,tob,low,mismatch,9
Contingency judgement test ,3688464,33,-4,tob,low,match,9
Contingency judgement test ,3688464,34,-4,wug,high,match,9
Contingency judgement test ,3688464,35,6,tob,low,match,9
Contingency judgement test ,3688464,36,3,wug,high,mismatch,9
Contingency judgement test ,3688464,37,4,wug,high,match,9
Contingency judgement test ,3688464,38,-4,wug,high,match,9
Contingency judgement test ,3688464,39,4,wug,low,mismatch,9
Contingency judgement test ,3688464,40,0,tob,low,match,9
Contingency judgement test ,3690782,1,3,wug,high,match,5
Contingency judgement test ,3690782,2,2,wug,high,match,5
Contingency judgement test ,3690782,3,2,tob,high,match,5
Contingency judgement test ,3690782,4,6,wug,low,mismatch,5
Contingency judgement test ,3690782,5,6,tob,high,match,5
Contingency judgement test ,3690782,6,6,tob,low,mismatch,5
Contingency judgement test ,3690782,7,5,tob,low,mismatch,5
Contingency judgement test ,3690782,8,3,tob,low,mismatch,5
Contingency judgement test ,3690782,9,5,wug,high,mismatch,5
Contingency judgement test ,3690782,10,4,wug,low,mismatch,5
Contingency judgement test ,3690782,11,-5,tob,high,mismatch,5
Contingency judgement test ,3690782,12,4,wug,high,mismatch,5
Contingency judgement test ,3690782,13,5,wug,low,match,5
Contingency judgement test ,3690782,14,6,tob,low,match,5
Contingency judgement test ,3690782,15,6,wug,low,mismatch,5
Contingency judgement test ,3690782,16,6,tob,low,match,5
Contingency judgement test ,3690782,17,6,wug,low,match,5
Contingency judgement test ,3690782,18,7,tob,high,mismatch,5
Contingency judgement test ,3690782,19,6,wug,high,match,5
Contingency judgement test ,3690782,20,0,wug,high,mismatch,5
Contingency judgement test ,3690782,21,7,wug,low,mismatch,5
Contingency judgement test ,3690782,22,6,tob,high,mismatch,5
Contingency judgement test ,3690782,23,4,tob,low,mismatch,5
Contingency judgement test ,3690782,24,5,tob,high,mismatch,5
Contingency judgement test ,3690782,25,-2,tob,low,match,5
Contingency judgement test ,3690782,26,3,wug,high,mismatch,5
Contingency judgement test ,3690782,27,2,wug,high,mismatch,5
Contingency judgement test ,3690782,28,4,wug,low,match,5
Contingency judgement test ,3690782,29,4,wug,low,mismatch,5
Contingency judgement test ,3690782,30,3,tob,high,match,5
Contingency judgement test ,3690782,31,3,tob,low,mismatch,5
Contingency judgement test ,3690782,32,6,wug,high,match,5
Contingency judgement test ,3690782,33,2,tob,low,match,5
Contingency judgement test ,3690782,34,6,wug,low,match,5
Contingency judgement test ,3690782,35,-1,tob,low,match,5
Contingency judgement test ,3690782,36,-1,wug,high,match,5
Contingency judgement test ,3690782,37,3,tob,high,match,5
Contingency judgement test ,3690782,38,3,wug,low,match,5
Contingency judgement test ,3690782,39,-1,tob,high,mismatch,5
Contingency judgement test ,3690782,40,4,tob,high,match,5
Contingency judgement test ,3691738,1,-9,wug,low,mismatch,6
Contingency judgement test ,3691738,2,-3,tob,low,mismatch,6
Contingency judgement test ,3691738,3,10,wug,low,match,6
Contingency judgement test ,3691738,4,10,tob,high,match,6
Contingency judgement test ,3691738,5,-10,tob,high,mismatch,6
Contingency judgement test ,3691738,6,3,wug,low,match,6
Contingency judgement test ,3691738,7,8,wug,high,match,6
Contingency judgement test ,3691738,8,7,tob,low,match,6
Contingency judgement test ,3691738,9,-5,tob,high,mismatch,6
Contingency judgement test ,3691738,10,-7,tob,low,mismatch,6
Contingency judgement test ,3691738,11,10,tob,high,match,6
Contingency judgement test ,3691738,12,9,wug,high,match,6
Contingency judgement test ,3691738,13,-8,tob,high,mismatch,6
Contingency judgement test ,3691738,14,-7,wug,low,mismatch,6
Contingency judgement test ,3691738,15,8,tob,high,match,6
