subjID frequency learning testing trialType acc
23 h sx sx control 1
23 h sx sx control 1
23 h sx sx control 1
23 h sx sx control 1
23 h sx sx control 1
23 h sx sx control 1
23 h sx sx control 1
23 h sx sx control 1
23 h sx sx exp 0
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 0
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 0
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 h sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 0
23 l sx sx exp 0
23 l sx sx exp 0
23 l sx sx exp 0
23 l sx sx exp 0
23 l sx sx exp 1
23 l sx sx exp 0
23 l sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 1
23 l sx sx exp 1
22 h sx sx control 1
22 h sx sx control 1
22 h sx sx control 1
22 h sx sx control 0
22 h sx sx control 1
22 h sx sx control 1
22 h sx sx control 1
22 h sx sx control 0
22 h sx sx exp 0
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 0
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 0
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 h sx sx exp 1
22 l sx sx exp 0
22 l sx sx exp 0
22 l sx sx exp 0
22 l sx sx exp 0
22 l sx sx exp 0
22 l sx sx exp 0
22 l sx sx exp 0
22 l sx sx exp 0
22 l sx sx exp 0
22 l sx sx exp 0
22 l sx sx exp 0
22 l sx sx exp 1
22 l sx sx exp 1
22 l sx sx exp 0
22 l sx sx exp 0
22 l sx sx exp 0
22 l sx sx exp 0
22 l sx sx exp 1
22 l sx sx exp 1
22 l sx sx exp 1
22 l sx sx exp 1
22 l sx sx exp 1
22 l sx sx exp 1
